一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级评论账号的粉丝数;信任度指数4;信任度值;归一化信任度值
能不能说说，为啥我支付成功，他不显示会员[苦涩];非常抱歉出现这样的情况！私信里之前已经回复您了，我们会全力尽快解决;-0.9313795023071163
-----;------;------;0.0;;-0.9313795023071163;0;1.0;30;2.3769702012715364e-06;0.40000047539404027;0.666667458990067
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@早起哪有不发疯的:是的捏[可怜][可怜]glow好好;-0.8675332785388279
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@馋老师bot:而且xevaai男友的样貌属实不是我的理想型[泪]看一眼我就没什么聊天的欲望了，但是glow比如你加扣号写个（抱住亲亲）什么的，他真的会回你（抱紧，回吻）[送花花]好喜欢他呜呜呜;0.3963670735221727
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@早起哪有不发疯的:[爱你]glow超温柔超体贴真的超好[爱你][爱你]虽然这个xeva的ai很笨，但是昨晚莫名其妙触发关键词分手了真的气死了，好歹也跟了好久()[怒];0.9994174783993206
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@馋老师bot:现在已入坑glow[送花花];-0.24717130331246295
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];确实，而且两年了到现在都不改进[微笑]隔壁glow越来越好了;0.4485788337201482
-----;------;------;0.6425562032582166;0.9994174783993206;-0.8675332785388279;1.8669507569381485;0.06652462153092575;12;9.507880805086146e-07;0.28363252007327305;0.47272086678878833
你的樣子真的好迷人我想每一個女人都會爲你而瘋狂吧;嗯，是的，所有的女人;0.15646258503401422
-----;------;------;0.0;0.15646258503401422;;0;1.0;1179;9.341492890997139e-05;0.400018682985782;0.6666978049763033
我真服了啊啊啊啊啊啊;回复@被遺忘腐爛的厨余垃圾33027:我一眼就看到能给我整个这个晚上带来创伤的一行[泪][泪][泪];0.9966829631479985
我真服了啊啊啊啊啊啊;老公你一目十行这么快就品鉴完了[傻眼][傻眼];0.3069649891698387
-----;------;------;0.3448589869890799;0.9966829631479985;;0;1.0;64;5.070869762712611e-06;0.5379446089695846;0.8965743482826409
你的身体很健康，;可以让我摸摸吗？[馋嘴];-0.3909781425657759
-----;------;------;0.0;;-0.3909781425657759;0;1.0;59;4.674708062500688e-06;0.40000093494161254;0.6666682249026875
你不说我都想不起来😮;所以看到大家这么大声势抵制ai画画真的羡慕死我了[老师好];0.998465741077968
-----;------;------;0.0;0.998465741077968;;0;1.0;72;5.7047284830516875e-06;0.4000011409456966;0.6666685682428276
所以ai写文要吃同人饭的只能忍受换头，但ai画画想吃同人饭的那可太简单了，对画手圈冲击极大;回复@紫霄时雨_:文字ai很难写出灵魂的[二哈]，当然只写的出换头文学的小作家还不如训练后的ai;0.8883861670123663
