label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;能不能说说，为啥我支付成功，他不显示会员[苦涩];1;0;1;1302;0.0007680491551459293
6;而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];5;5;10;1302;0.007680491551459293
13;你的樣子真的好迷人我想每一個女人都會爲你而瘋狂吧;1;0;1;1302;0.0007680491551459293
15;我真服了啊啊啊啊啊啊;2;0;2;1302;0.0015360983102918587
18;你的身体很健康，;1;0;1;1302;0.0007680491551459293
28;你不说我都想不起来😮;1;0;1;1302;0.0007680491551459293
30;所以ai写文要吃同人饭的只能忍受换头，但ai画画想吃同人饭的那可太简单了，对画手圈冲击极大;2;1;3;1302;0.002304147465437788
52;超有活力;1;0;1;1302;0.0007680491551459293
54;#朱一龙2022吾心挚爱# [哇]#朱一龙2022无畏前行# ↻朱一龙，白日梦的终点就是你，此后日光大亮，你是我心中所有的渴求与想象。↺@朱一龙 晚上好噢;1;1;2;1302;0.0015360983102918587
56;#朱一龙2023前路灿灿# [2023] #朱一龙2023朱事平安#  朱一龙，多谢你如此耀眼，做我平淡岁月里的星辰。@朱一龙  晚上好[抱一抱];1;1;2;1302;0.0015360983102918587
58;球图7元图[抱一抱][抱一抱][抱一抱];1;1;2;1302;0.0015360983102918587
88;别太美[泪][泪][泪][泪];1;0;1;1302;0.0007680491551459293
90;别上明侦，明侦对嘉宾要求很高，玩不好容易被骂;2;3;5;1302;0.0038402457757296467
93;mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];4;1;5;1302;0.0038402457757296467
100;晚安;1;5;6;1302;0.004608294930875576
102;晚安，商医[鲜花]http://t.cn/A6CNEDKv;1;5;6;1302;0.004608294930875576
104;晚安[心]http://t.cn/A6CN1MAe;1;6;7;1302;0.005376344086021506
106;晚安商医[打call][打call]http://t.cn/A6CNRZES;1;5;6;1302;0.004608294930875576
108;每天努力一点点，惊喜就在不远处等着你。晚安🌈;1;5;6;1302;0.004608294930875576
110;晚安[鲜花];1;5;6;1302;0.004608294930875576
112;晚安[爱你][爱你][爱你]http://t.cn/A6CNnbeZ;1;5;6;1302;0.004608294930875576
114;晚安[心]http://t.cn/A6CN8Rqt;1;7;8;1302;0.006144393241167435
116;晚安[月亮]http://t.cn/A6CNnpDr;1;6;7;1302;0.005376344086021506
118;晚安[月亮]http://t.cn/A6CNERto;1;7;8;1302;0.006144393241167435
120;晚安[月亮]http://t.cn/A6CNjvl3;1;7;8;1302;0.006144393241167435
122;晚安[打call]来和茂茂互动吖[羞嗒嗒][羞嗒嗒];1;7;8;1302;0.006144393241167435
124;晚安[月亮]http://t.cn/A6CN3PAr;1;5;6;1302;0.004608294930875576
126;晚安http://t.cn/A6CNEFsX[许愿星];1;7;8;1302;0.006144393241167435
128;晚安[惊喜];1;7;8;1302;0.006144393241167435
130;一年之际在于春，春天来了需努力！  晚安🎊✨💕http://t.cn/A6C6JEdh;1;5;6;1302;0.004608294930875576
132;晚安[心]http://t.cn/A6CNmltF;1;6;7;1302;0.005376344086021506
134;晚安呀;1;6;7;1302;0.005376344086021506
136;晚安啦[月亮]http://t.cn/A6CNEeK4;1;6;7;1302;0.005376344086021506
149;图6/9都是我的爱啊！我的爱❤️[偷笑]。最后一图，绝大多数情况应该就是用平菇炸的，虽然也算好吃，但真不是鸡枞的味儿[偷笑]。点心推荐一家叫源贸园的，有种叫“回饼”的小点心是我的爱。介绍给你们，但不确定合你们口味[偷笑];2;0;2;1302;0.0015360983102918587
152;这家豆花米线我吃了;4;0;4;1302;0.0030721966205837174
157;请问这盘多少米出？;1;0;1;1302;0.0007680491551459293
174;西湖大学？;1;2;3;1302;0.002304147465437788
177;原图发我;1;0;1;1302;0.0007680491551459293
185;这是外传吗;3;0;3;1302;0.002304147465437788
190;哇 去玩了  吼吼看[抱一抱];2;0;2;1302;0.0015360983102918587
193;真好;3;0;3;1302;0.002304147465437788
197;羡慕啊;2;0;2;1302;0.0015360983102918587
