发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
网易财经;0.0321841851494696;0.4767406039419535;0.4413306334042159;0.022937963985502748
明七笑;0.001205400192864;0.4351759237455314;0.3835373485148853;0.0006815063562430091
爱范儿;0.000602700096432;-0.0603644919203576;0.6562059690591948;-8.087031221915329e-05
虎嗅APP;0.0004821600771456;-0.4767722593163275;0.6574382150781249;-0.0005119449977313229
侃见财经;0.1057135969141755;0.5595695919152436;0.8618330006943491;0.17269279102448415
周一Joey-;0.0004821600771456;0.1795013019896683;0.5658300730333192;0.00016588648677251064
水哥妖股;0.0003616200578592;0.9934293535880798;0.6526238288974004;0.000794179292832133
财经陈小财;0.0937801350048216;0.6602029597575462;0.4410536748618384;0.09250088722077049
力可财经;0.0861861137897782;0.4985103505629515;0.4695864770073089;0.06834286688681519
侃见财经;0.0986017357762777;0.692955248597281;0.5550107833993838;0.12845686024963604
三倍速科技;0.0033751205400192;-0.2126627653444924;0.530646941955157;-0.0012901866487546043
刘老师侃科技;0.0245901639344262;0.5695408955037891;0.7393151466763124;0.035073739688848554
Tech星球;0.0489392478302796;0.3743243046504913;0.9609515206584848;0.05963111469815747
深泉者行;0.0002410800385728;0.0518684245517879;0.6524201049776636;2.7634892388396905e-05
王文机;0.0059064609450337;0.6515605692882668;0.4770158535322847;0.006218434675403062
张一网;0.0031340405014464;0.6529537319581313;0.4538573433375121;0.0031460999251610357
国产小新;0.0180810028929604;0.7165840266746736;0.4576413116326749;0.020085423496168157
有漾学漾;0.0166345226615236;0.4294508889459204;0.464078039145363;0.011230032141103609
刘老师侃科技;0.0142237222757955;0.8126560754911643;0.4404044375169326;0.017243994253362337
科小宅;0.0048216007714561;0.6283775040337671;0.5770843240684338;0.005922666612096695
尤林yulin;0.0054243008678881;0.6208906909322766;0.4662854549496077;0.005319574801420118
颜科技;0.0047010607521697;0.4599714062199839;0.5371355598501792;0.003934383917202896
鼎盛风清;0.0009643201542912;-0.0804581901282217;0.6545332687236223;-0.0001720241264907704
柠檬王同学;0.0159112825458052;0.6516543322666609;0.3871753076932486;0.013598664510989277
上班摆烂青年;0.0202507232401157;0.789245708802346;0.851823979452565;0.046117819154811446
摸鱼段子手;0.0194069431051108;0.6810775894703192;0.8586712988092707;0.03844561410540142
臭弟弟;0.0174783027965284;0.8094304689898294;0.827342736229327;0.03964883200449945
追剧小鬼才;0.0177193828351012;0.826855481475458;0.8239920880631639;0.04089473285853748
刘老师侃科技;0.0196480231436837;0.7795445797962792;0.8147695448810235;0.04227277296771377
恋爱投递员;0.0209739633558341;0.7295186162682983;0.3670659113254882;0.01902510537472145
内涵台长;0.0300144648023143;0.7488274314064861;0.4433986225668862;0.03375769782534079
第一家电网;0.0003616200578592;0.9491221940296198;0.6830776193521804;0.0007941651572605161
雪球;0.0009643201542912;0.1038453207423439;0.6555442718716973;0.0002223700712765767
用友;0.0003616200578592;0.0;0.651771963922332;0.0
电商行业;0.0084378013500482;0.4248197333115263;0.487988711073218;0.0059252937639843566
房长沙V;0.0004821600771456;-0.9052458783604376;0.6515914894791586;-0.0009633838022777301
锌刻度Znkedu;0.0002410800385728;0.9955571759968552;0.6516380611822371;0.000529785460107452
电商报;0.0138621022179363;0.5126146239879291;0.4838682146614342;0.011646979621096855
金翅大鹏哥哥;0.0153085824493731;0.8374454892187504;0.6529298652279846;0.02835464352986649
爱记仇的小熊猫;0.0025313404050144;-0.1236679391846469;0.6020839470143722;-0.0006384558282269724
大智若愚-龙云;0.0055448408871745;0.2810348142591252;0.5023691610488084;0.0026517850364936504
华媒号;0.000602700096432;0.9997347598916292;0.6518010712367561;0.001330354110943834
波士财经;0.1229508196721311;0.6392411427765265;0.5080531047673356;0.135260625066217
超短蚂蚁;0.0003616200578592;0.6389088972944663;0.7443256654673571;0.0005825330559112103
H大宝;0.0069913211186113;-0.108866270724525;0.4500668014685661;-0.0011603679052247702
财联社APP;0.0025313404050144;0.4922130294307185;0.855409517299982;0.0036103047917027775
北京现代;0.0298939247830279;0.4894428185087637;0.5732758967807483;0.028412844409678367
财联社APP;0.002410800385728;0.245123689500933;0.6578515480366912;0.0013168629253775322
方正之间;0.0021697203471552;0.904952468461446;0.6742094860306729;0.004484257282790712
百度;0.003616200578592;0.051224484117176;0.3652124088079443;0.00022916155602723461
投中网;0.0004821600771456;0.2877814258285525;0.653207924767255;0.00030702347695842124
中国家电网;0.0044599807135969;0.4231015564491693;0.5067817386674325;0.003239400862787209
华媒号;0.000602700096432;0.1815082871745914;0.6518010712367561;0.0002415343606130759
沙雕插班生;0.132473481195757;0.7951403272719537;0.8235267252139143;0.2938438188136087
IT宅男说;0.174662487945998;0.6085197928590601;0.4486724743771113;0.16153621789577047
大呆秦;0.0285679845708775;0.0741312468449936;0.4763181864298337;0.0034169939028097117
手机中国;0.0004821600771456;0.4399887632926761;0.5430242520603112;0.0003902277879710727
苏苏股当家;0.026036644165863;-0.2509868274208919;0.6516962758110854;-0.014426045864679068
张栋伟;0.0002410800385728;0.9506336510743678;0.6525112806149606;0.0005065573168436478
天方夜谭_丝路;0.0028929604628736;0.3814006127402191;0.652338640872252;0.002438165164331212
小袁读书;0.0007232401157184;0.0;0.6519039170810547;0.0
智造圈;0.0044599807135969;0.4698653317432464;0.5380846610466715;0.0038196461139508677
董骥;0.0042189006750241;0.5257383946245225;0.3722030400919014;0.002796501421384412
EdgarPerez;0.000602700096432;0.3043133027141475;0.5741525819310458;0.0003567103029124186
科普少女;0.0536403085824493;0.5269561322912576;0.4115151148409667;0.039401944462569796
IT之家;0.0002410800385728;0.9076596995660446;0.6634983215662497;0.0004918019729065371
百度;0.0085583413693346;0.2298059462466528;0.4960803674439255;0.003304981554494717
南朋友数藏元宇宙;0.0034956605593056;-0.1159055195813504;0.608404017790229;-0.0008350098119767297
进击的阿秀;0.0345949855351976;0.8715535968630546;0.8047964295193547;0.08219765476627365
金融八卦女;0.0135004821600771;0.0690499513294592;0.6584394885068265;0.0020791922977659288
佟忆;0.0171166827386692;0.6969143806623251;0.8005957941549292;0.03235031130052747
科技小贝;1.0;0.8208516792057855;0.3596409832332093;1.0
羊又走丢了;0.0147058823529411;0.6336414264104676;0.5657399696889462;0.01785737611156173
张栋伟;0.0003616200578592;0.7954202049584795;0.6525112806149606;0.0006357747661230292
洲济捣蛋;0.0007232401157184;0.109574439139058;0.651771963922332;0.00017496596297973533
月相数据员;0.0077145612343297;0.2941016703584383;0.4921771815546999;0.003782651485158362
冷知酱;0.0160318225650916;0.6273668533292616;0.4219169652643735;0.014374660230649332
科技猩球;0.0513500482160077;0.6047632234343132;0.6714528582244301;0.07063303838829948
蓝绿那点事;0.0461668273866923;0.4538853835069011;0.4384318606292242;0.031120349609694255
国产小新;0.0168756027000964;0.75716446204403;0.4810332204218321;0.02082047900948321
戴面具的布鲁斯;0.0182015429122468;0.739867608167658;0.3700115097841193;0.016878878398902595
憨憨行为图鉴;0.0119334619093539;0.7782921654974402;0.4507090875914766;0.014179847411838862
恋爱投递员;0.0142237222757955;0.9020019189743264;0.7850876555911646;0.03411968451713417
迷惑;0.0189247830279652;0.7961808617383201;0.844847375381932;0.043120822384216426
上班摆烂青年;0.0125361620057859;0.8611317261348707;0.8078911010216097;0.029542901261663236
刘老师侃科技;0.0169961427193828;0.7692298535226675;0.4523810574002875;0.02003443245634751
追剧小鬼才;0.016152362584378;0.8066787219429933;0.4147952648478345;0.0183078176983432
臭弟弟;0.0127772420443587;0.909485012703472;0.7937285936965285;0.03124430201972232
憨憨老师;0.0159112825458052;0.7579464806498996;0.8275309246155496;0.033806023849722956
财联社APP;0.001808100289296;0.5486972293378243;0.6576826983317995;0.0022102318485722728
究竟视频;0.0003616200578592;-0.9377713016930538;0.656836627538384;-0.0007545238023793689
人工智能那点事;0.0004821600771456;0.9669365488337116;0.6526704187879669;0.0010307403709969355
成林说;0.0051832208293153;0.4890099842086475;0.8567875660857552;0.007356254171885653
国际在线新闻;0.0007232401157184;0.88781565655102;0.7332377317774131;0.0015948367863762992
张栋伟;0.0002410800385728;-0.3356737757163288;0.6525112806149606;-0.00017886807075414362
我是Leo_6;0.0003616200578592;-0.0432961051053507;0.6515490743005797;-3.4555295035636584e-05
刘不太六;0.0003616200578592;0.9955571759968552;0.6515779060657606;0.0007946048304820277
百度百家号;0.0003616200578592;-0.003123903201843;0.6518825717171437;-2.4945119139436865e-06
音综那些事;0.0325458052073288;0.5619333265486086;1.0;0.06195066078201974
影视剧尝鲜;0.0320636451301832;0.0220844662041095;0.7704749923240829;0.0018480957984676224
时尚星官;0.032907425265188;0.6355807633790206;0.9941713363921632;0.0704355675248469
说互联网;0.0376084860173577;0.4041030166608313;0.5874856842444914;0.030244148660975585
红莲爱科技;0.0722034715525554;0.5965698638974002;0.4639995677178465;0.06770224944431634
成天说财经;0.0993249758919961;0.8433497270320454;0.7871279697509607;0.22334573035888702
侃见财经;0.095708775313404;0.5756367914167279;0.4590266882475452;0.08566518795787315
南风窗;0.0037367405978784;0.263492961960478;0.379060367874265;0.001264260247149114
闲谈记;0.1042671166827386;0.9025791121416664;0.837673968071923;0.2670384477164371
百度搜索;0.0003616200578592;0.939000166193132;0.655860571355106;0.0007543898494722025
贝果财经;0.0003616200578592;0.9403956523863932;0.6536814128422979;0.0007530007224178494
电商报;0.019165863066538;0.2524519160419577;0.4465504454165055;0.007318864584009846
皇家校长皇家校长;0.0001205400192864;0.338043736964728;0.5387135637859303;7.435808452924008e-05
贝果财经;0.0002410800385728;0.9955571759968552;0.65356884637237;0.0005313551994785186
指汇盈;0.0003616200578592;-0.646743357104534;0.6515573388373885;-0.0005161824819991669
wuxianlin;0.0022902603664416;0.0444843572641511;0.5402612472616863;0.00018644988815442911
你们的隔壁老王啊;0.0002410800385728;0.9955571759968552;0.6515701441152475;0.0005297302431446506
花甲麟;0.0002410800385728;0.9955571759968552;0.6516051828916571;0.0005297587298697019
运营商的秘密;0.0003616200578592;0.9955571759968552;0.6517409070265356;0.0007948036115481126
清照徽因225;0.000602700096432;-0.2512476161916055;0.6516054565004127;-0.0003342366393775358
丁振凯;0.0037367405978784;-0.3307394134345032;0.8637962113540897;-0.0036162323744071156
电商行业;0.0407425265188042;-0.0085863099571225;0.4498708508675187;-0.0005330997831211915
深泉者行;0.001205400192864;0.0;0.6525326714475914;0.0
三言科技;0.0002410800385728;-0.5597954308091866;0.651694335323457;-0.0002979207004276422
爱记仇的小熊猫;0.057738669238187;0.2257248500942524;0.4250880789657808;0.018766842186288626
zzzv2;0.0002410800385728;-0.9966863856140952;0.651549260587392;-0.0005303140913974976
阿远不开车;0.0021697203471552;0.3505325201679429;0.576304374615092;0.001484739032553618
2gua;0.0034956605593056;0.1260587113872263;0.5510594298612291;0.0008225583002581128
岳川博;0.0201301832208293;0.2160770394673266;0.3844908650551373;0.005665112091655366
八月俊杰;0.0003616200578592;0.9694700538783068;0.6518534553089755;0.0007741106005157236
天津股侠;0.1718900675024108;0.0260777316133401;0.4459623072913111;0.006771499955052206
白展堂会梦见电子羊吗;0.000602700096432;0.6320577119318895;0.7198224307677353;0.0009288583811972134
种花家的小钱钱呢;0.0002410800385728;0.9967559969423788;0.6515497922810022;0.0005303515627879091
黑马王子得一;0.0009643201542912;0.8159637774431509;0.7400513635359981;0.0019725141134822356
DadaYes_106;0.000602700096432;0.950348793737693;0.6837092178354299;0.0013265446017320533
DiscountedCheerFlow;0.000602700096432;-0.2214292801202733;0.6515492955161694;-0.0002945436886813658
房长沙V;0.001205400192864;0.0382440119483512;0.6609138076193093;0.00010320616953954647
长颈鹿的围脖儿;0.0003616200578592;0.9036982185267712;0.7114054076571674;0.0007875157210619923
齐鲁大D;0.0022902603664416;0.0214697239213408;0.651715698874856;0.00010855145095149388
无形又无相;0.0003616200578592;-0.9834283464387128;0.6515528446680414;-0.0007848940043191929
逆风飞扬0414;0.0002410800385728;0.1818155005214115;0.6515669850013887;9.674251228351543e-05
阿弥陀佛007;0.0007232401157184;0.3276010509798653;0.6194164713373929;0.0004971376738471474
