发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
网易财经;38;229;267;8296;0.03218418514946962
明七笑;4;6;10;8296;0.0012054001928640309
爱范儿;1;4;5;8296;0.0006027000964320154
虎嗅APP;1;3;4;8296;0.00048216007714561236
侃见财经;431;446;877;8296;0.1057135969141755
周一Joey-;3;1;4;8296;0.00048216007714561236
水哥妖股;2;1;3;8296;0.0003616200578592093
财经陈小财;377;401;778;8296;0.0937801350048216
力可财经;353;362;715;8296;0.08618611378977821
侃见财经;383;435;818;8296;0.09860173577627772
三倍速科技;4;24;28;8296;0.0033751205400192863
刘老师侃科技;102;102;204;8296;0.02459016393442623
Tech星球;206;200;406;8296;0.048939247830279656
深泉者行;1;1;2;8296;0.00024108003857280618
王文机;22;27;49;8296;0.0059064609450337514
张一网;13;13;26;8296;0.00313404050144648
国产小新;13;137;150;8296;0.01808100289296046
有漾学漾;38;100;138;8296;0.016634522661523626
刘老师侃科技;20;98;118;8296;0.014223722275795565
科小宅;20;20;40;8296;0.0048216007714561235
尤林yulin;21;24;45;8296;0.005424300867888139
颜科技;19;20;39;8296;0.0047010607521697206
鼎盛风清;1;7;8;8296;0.0009643201542912247
柠檬王同学;28;104;132;8296;0.01591128254580521
上班摆烂青年;21;147;168;8296;0.020250723240115717
摸鱼段子手;20;141;161;8296;0.019406943105110895
臭弟弟;18;127;145;8296;0.01747830279652845
追剧小鬼才;17;130;147;8296;0.017719382835101254
刘老师侃科技;18;145;163;8296;0.019648023143683704
恋爱投递员;21;153;174;8296;0.020973963355834138
内涵台长;16;233;249;8296;0.03001446480231437
第一家电网;2;1;3;8296;0.0003616200578592093
雪球;1;7;8;8296;0.0009643201542912247
用友;1;2;3;8296;0.0003616200578592093
电商行业;17;53;70;8296;0.008437801350048216
房长沙V;1;3;4;8296;0.00048216007714561236
锌刻度Znkedu;1;1;2;8296;0.00024108003857280618
电商报;19;96;115;8296;0.013862102217936354
金翅大鹏哥哥;3;124;127;8296;0.015308582449373193
爱记仇的小熊猫;4;17;21;8296;0.0025313404050144647
大智若愚-龙云;23;23;46;8296;0.005544840887174542
华媒号;1;4;5;8296;0.0006027000964320154
波士财经;462;558;1020;8296;0.12295081967213115
超短蚂蚁;2;1;3;8296;0.0003616200578592093
H大宝;9;49;58;8296;0.006991321118611379
财联社APP;4;17;21;8296;0.0025313404050144647
北京现代;13;235;248;8296;0.029893924783027964
财联社APP;6;14;20;8296;0.0024108003857280617
方正之间;7;11;18;8296;0.0021697203471552555
百度;11;19;30;8296;0.0036162005785920926
投中网;2;2;4;8296;0.00048216007714561236
中国家电网;16;21;37;8296;0.004459980713596914
华媒号;1;4;5;8296;0.0006027000964320154
沙雕插班生;556;543;1099;8296;0.132473481195757
IT宅男说;547;902;1449;8296;0.17466248794599806
大呆秦;13;224;237;8296;0.02856798457087753
手机中国;3;1;4;8296;0.00048216007714561236
苏苏股当家;1;215;216;8296;0.026036644165863067
张栋伟;1;1;2;8296;0.00024108003857280618
天方夜谭_丝路;3;21;24;8296;0.0028929604628736743
小袁读书;1;5;6;8296;0.0007232401157184186
智造圈;7;30;37;8296;0.004459980713596914
董骥;15;20;35;8296;0.004218900675024108
EdgarPerez;3;2;5;8296;0.0006027000964320154
科普少女;197;248;445;8296;0.05364030858244937
IT之家;1;1;2;8296;0.00024108003857280618
百度;17;54;71;8296;0.008558341369334619
南朋友数藏元宇宙;5;24;29;8296;0.0034956605593056897
进击的阿秀;20;267;287;8296;0.034594985535197686
金融八卦女;3;109;112;8296;0.013500482160077145
佟忆;11;131;142;8296;0.017116682738669238
科技小贝;766;7530;8296;8296;1.0
羊又走丢了;15;107;122;8296;0.014705882352941176
张栋伟;2;1;3;8296;0.0003616200578592093
洲济捣蛋;2;4;6;8296;0.0007232401157184186
月相数据员;11;53;64;8296;0.007714561234329798
冷知酱;22;111;133;8296;0.01603182256509161
科技猩球;200;226;426;8296;0.051350048216007714
蓝绿那点事;139;244;383;8296;0.04616682738669238
国产小新;13;127;140;8296;0.016875602700096432
戴面具的布鲁斯;35;116;151;8296;0.018201542912246866
憨憨行为图鉴;18;81;99;8296;0.011933461909353906
恋爱投递员;21;97;118;8296;0.014223722275795565
迷惑;31;126;157;8296;0.018924783027965283
上班摆烂青年;19;85;104;8296;0.01253616200578592
刘老师侃科技;26;115;141;8296;0.016996142719382837
追剧小鬼才;25;109;134;8296;0.016152362584378015
臭弟弟;19;87;106;8296;0.012777242044358728
憨憨老师;25;107;132;8296;0.01591128254580521
财联社APP;2;13;15;8296;0.0018081002892960463
究竟视频;1;2;3;8296;0.0003616200578592093
人工智能那点事;1;3;4;8296;0.00048216007714561236
成林说;8;35;43;8296;0.005183220829315333
国际在线新闻;2;4;6;8296;0.0007232401157184186
张栋伟;1;1;2;8296;0.00024108003857280618
我是Leo_6;2;1;3;8296;0.0003616200578592093
刘不太六;1;2;3;8296;0.0003616200578592093
百度百家号;2;1;3;8296;0.0003616200578592093
音综那些事;40;230;270;8296;0.03254580520732883
影视剧尝鲜;37;229;266;8296;0.03206364513018322
时尚星官;41;232;273;8296;0.03290742526518804
说互联网;60;252;312;8296;0.037608486017357765
红莲爱科技;169;430;599;8296;0.07220347155255545
成天说财经;435;389;824;8296;0.09932497589199614
侃见财经;421;373;794;8296;0.09570877531340405
南风窗;14;17;31;8296;0.0037367405978784955
闲谈记;422;443;865;8296;0.10426711668273866
百度搜索;1;2;3;8296;0.0003616200578592093
贝果财经;1;2;3;8296;0.0003616200578592093
电商报;45;114;159;8296;0.01916586306653809
皇家校长皇家校长;0;1;1;8296;0.00012054001928640309
贝果财经;1;1;2;8296;0.00024108003857280618
指汇盈;1;2;3;8296;0.0003616200578592093
wuxianlin;7;12;19;8296;0.002290260366441659
你们的隔壁老王啊;1;1;2;8296;0.00024108003857280618
花甲麟;1;1;2;8296;0.00024108003857280618
运营商的秘密;1;2;3;8296;0.0003616200578592093
清照徽因225;1;4;5;8296;0.0006027000964320154
丁振凯;2;29;31;8296;0.0037367405978784955
电商行业;67;271;338;8296;0.040742526518804244
深泉者行;1;9;10;8296;0.0012054001928640309
三言科技;1;1;2;8296;0.00024108003857280618
爱记仇的小熊猫;26;453;479;8296;0.05773866923818708
zzzv2;1;1;2;8296;0.00024108003857280618
阿远不开车;4;14;18;8296;0.0021697203471552555
