发布者;群体情绪;时间
网易财经;0.022940202153078553;2023-03-01 22:17:25
明七笑;0.0006822145317185837;2023-03-01 22:16:25
爱范儿;-8.078514740269554e-05;2023-03-01 22:15:53
虎嗅APP;-0.0005114058666142068;2023-03-01 22:16:23
侃见财经;0.17271935646464587;2023-03-01 22:16:23
周一Joey-;0.00017743024504715326;2023-03-01 22:16:03
水哥妖股;0.0007933429397644548;2023-03-01 22:14:42
财经陈小财;0.09263165788488217;2023-03-01 22:19:30
力可财经;0.06851543326876551;2023-03-01 22:16:32
侃见财经;0.12897917657707958;2023-03-01 22:16:05
三倍速科技;-0.001288827948557681;2023-03-01 22:15:49
刘老师侃科技;0.03503680340752207;2023-03-01 21:45:17
Tech星球;0.05956831695694588;2023-03-03 09:23:49
深泉者行;2.760578998389883e-05;2023-03-02 08:52:40
王文机;0.0062118860194964294;2023-03-01 17:15:53
张一网;0.003142786756022305;2023-03-01 19:55:14
国产小新;0.020112247416711863;2023-03-04 14:59:39
有漾学漾;0.011375078398329554;2023-03-01 22:05:05
刘老师侃科技;0.01739267236666594;2023-03-01 18:06:12
科小宅;0.005916429430600565;2023-03-07 01:01:37
尤林yulin;0.005313972738077412;2023-03-01 19:48:53
颜科技;0.00394791396774639;2023-03-02 02:57:10
鼎盛风清;-0.00017184296726488306;2023-03-06 09:33:39
柠檬王同学;0.01417617753222478;2023-03-06 09:36:22
上班摆烂青年;0.04660601695787299;2023-03-06 09:35:12
摸鱼段子手;0.03878487764179537;2023-03-02 20:45:15
臭弟弟;0.03990609503704952;2023-03-02 18:53:52
追剧小鬼才;0.0412593848695254;2023-03-02 20:52:33
刘老师侃科技;0.0426109823319281;2023-03-02 20:52:30
恋爱投递员;0.019463972378284976;2023-03-02 21:11:59
内涵台长;0.03413631263321174;2023-03-02 21:11:51
第一家电网;0.0008223871866788733;2023-03-02 21:11:48
雪球;0.00022213589255528471;2023-03-02 21:11:45
用友;0.0;2023-03-02 21:11:44
电商行业;0.005918189632106331;2023-03-02 21:11:39
房长沙V;-0.0009623692593330089;2023-03-02 18:01:41
锌刻度Znkedu;0.0005292275411352863;2023-03-02 18:01:32
电商报;0.011667608800456787;2023-03-02 18:01:53
金翅大鹏哥哥;0.028324783152854447;2023-03-02 18:01:58
爱记仇的小熊猫;-0.0006377834680995627;2023-03-02 18:02:03
大智若愚-龙云;0.0026900963753338715;2023-03-02 18:02:02
华媒号;0.0013289531102481113;2023-03-02 18:02:10
波士财经;0.1351147046477393;2023-03-02 18:02:26
超短蚂蚁;0.0005819228534958869;2023-03-02 18:04:33
H大宝;-0.001159145917613246;2023-03-02 18:02:09
财联社APP;0.0036065027667506705;2023-03-02 18:02:05
北京现代;0.02838292274111061;2023-03-02 18:01:57
财联社APP;0.0013154761322978189;2023-03-02 18:20:44
方正之间;0.004479534895329128;2023-03-02 18:08:09
百度;0.0002289202251689421;2023-03-02 18:03:50
投中网;0.00030670014943134894;2023-03-02 18:03:30
中国家电网;0.0032359894380957262;2023-03-02 18:02:24
华媒号;0.0002412799999098044;2023-03-02 18:02:24
沙雕插班生;0.29386294081748326;2023-03-02 18:02:19
IT宅男说;0.16178552590547615;2023-03-02 18:02:17
大呆秦;0.0034310065280683277;2023-03-02 18:02:25
手机中国;0.0003898168376850245;2023-03-02 18:06:08
苏苏股当家;-0.014410853743929652;2023-03-02 18:02:56
张栋伟;0.0005060238595126386;2023-03-02 18:02:37
天方夜谭_丝路;0.002435597523833532;2023-03-02 18:02:30
