发布者;群体情绪;时间
AI人工智能居然帮我编了一首曲子？？而且还挺好听的？？#人工智能#伴奏#音乐制作 #编曲;0.201780730266761;1年前·吉林
用AI作曲，会发生什么？这对双胞胎音乐人突发奇想，想看看AI制作的歌曲会有什么不同，苦等了3小时后，AI交出了一份令他俩惊讶的答卷—— #音乐 #AI #编曲;0.8082341393604071;1年前·海南
AI编曲能代替人类吗？前几天用ChatGPT挑战写中文歌词翻车，今天再来试试人工智能作曲#人工智能 #编曲;0.002374250471146894;1年前·江西
5秒出音乐，Ai作曲网站Aiva，生成钢琴曲，EDM, Lo-Fi, Hiphop, Techno, Jazz，还可以改编，免费下载3首曲子 #ai作曲 #人工智能 #ai音乐 #ai作曲 #人工智能ai艺术 #人工智能歌手天花板;-0.0016105255075103925;1年前·北京
第19集 | 用ChatGPT创作音乐｜动动嘴皮子AI帮你编曲 WavTool 是用 GPT-4 驱动的AI作曲工具，TXT To Music只要告诉 AI 你想要的曲风，或者要加入的乐器，其他操作 AI 帮你完成人均作曲家时代来了！AI Drop The Beat！;-0.020718961660083832;1年前·江西
第36集 | 只要会打字，你就能做出音乐的日子不远了。 #人工智能 #ai作曲 #写歌 #学音乐#musiclm;0.07571059351153152;1年前·宁夏
两款ai作曲神器，哪怕你是音乐小白，也能几分钟就创作出一首好听的BGM#作曲 #app推荐#AI #音乐;0.03720607486026402;1年前·广西
#openai #软件分享 #AI作曲 #原创音乐编曲制作 创作出属于自己的作品！;0.08637470704110459;1年前·河南
如何使用GPT+AI创作歌曲 #AI作曲 #GPT;-0.06549447104603168;1年前·江苏
AI作曲超越人类？那不得嗨起来！#AI #AI作曲 #作曲;0.23187152979151168;1年前·安徽
AI给我前女友写了首歌，她哭着 唱《后来》AI写歌已经成为现实了？#AI人工智能 #AI作曲 #干货都在这 #一分钟干货教学;0.029986211917491477;1年前·福建
想在你身边 不管有没有明天#AI作曲#唱鸭#唱鸭ai歌姬#作曲编曲#原创音乐#音乐制作;-0.09897260868445604;1年前·广东
麻麻，太久没上网世界已经这么厉害了吗#AI包办作词作曲演唱一条龙#AI写的歌词也太戳了吧#AI也太懂了;0.08841871324637218;1年前·陕西
终于有一款为我们弹唱爱好者研发的软件了，不但可以AI写歌也可以AI编曲，最主要还是免费的！@海绵乐队 #海绵乐队;0.045553231525086904;1年前·浙江
第55集 | 普通人靠这个AI工具人也能成为作词家，只需要十秒钟。快来看看#人工智能 #干货分享#ai #知识分享 #干货 #ai聊天程序chatgpt爆红 #一键开启ai世界;-0.4538151958380082;1年前·山西
