发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
亲爱的翻译官;333;3062;3395;468869;0.0072408284616811945
傻瓜工具箱;149;17000;17149;468869;0.036575248097016434
谷硅发条;3;124;127;468869;0.00027086456984786795
娜塔莉老师讲外刊翻译;143;1151;1294;468869;0.002759832703804261
菜娃电商;7;109;116;468869;0.00024740385907364316
阿福快剪录;10;197;207;468869;0.0004414879209331391
阿里达摩院扫地僧;1240;24000;25240;468869;0.05383166726740305
同传亮老师;11;811;822;468869;0.001753154932401161
水东揭秘;75;1831;1906;468869;0.004065101339606585
阿雷;89;1462;1551;468869;0.0033079602191656943
振弟嘿科技;18;591;609;468869;0.0012988702601366266
海岛的女儿魔都搬砖记;3;127;130;468869;0.0002772629455135656
我是AI人;20;124;144;468869;0.0003071220319534881
傻瓜工具箱;13;919;932;468869;0.001987762040143409
MissMelody;10;296;306;468869;0.0006526343179011621
云上深夜快递;2264;8237;10501;468869;0.022396447621830403
阿甘评测;150;12000;12150;468869;0.025913421446075557
阿里国际站梓唐;1;2;3;468869;6.3983756656976686e-06
51准答;13;54;67;468869;0.00014289705653391458
程序员涛涛;126;7990;8116;468869;0.017309738967600758
瓦清;2702;44000;46702;468869;0.09960564677980417
白日梦;2;87;89;468869;0.00018981847808236416
小屋的AI世界;16;199;215;468869;0.00045855025604166623
老何运营笔记;6;367;373;468869;0.0007955313744350767
老陈聊跨境科技;306;475;781;468869;0.0016657104649699596
华谕通讯;261;3176;3437;468869;0.007330405721000962
飘飘游戏菌;1066;9884;10950;468869;0.023354071179796487
米夏德语工作室;28;295;323;468869;0.0006888917800067823
吃屁猪猪侠GPT;16;225;241;468869;0.0005140028451443793
灵魂清静;13;103;116;468869;0.00024740385907364316
AI绘画小白白（有课）;22;471;493;468869;0.0010514664010629834
游戏变异菌;14781;53000;67781;468869;0.14456276699888454
阿里达摩院扫地僧;25;435;460;468869;0.0009810842687403092
惠租app;13;66;79;468869;0.00016849055919670525
阿里云;41;924;965;468869;0.002058144172466083
阿里达摩院扫地僧;19;763;782;468869;0.0016678432568585256
每天亿个冷知识;64;591;655;468869;0.0013969786870106575
中国证券报;26;265;291;468869;0.0006206424395726739
李哥评测;37;430;467;468869;0.0009960138119602703
湖北之声;198;54000;54198;468869;0.11559305477649408
不吃不带籽的葡萄;2;2;4;468869;8.531167554263558e-06
小智Ai图片翻译+视频翻译软件;16;123;139;468869;0.00029645807251065865
冬旭（游戏杂谈）;10284;54000;64284;468869;0.13710439376456962
吴哥说电脑;1;13;14;468869;2.9859086439922453e-05
Burgundy Red;11;86;97;468869;0.00020688081319089128
AI创造社;24;693;717;468869;0.0015292117841017427
阿里达摩院扫地僧;1780;65000;66780;468869;0.1424278423184301
元宇宙圈子;179;1627;1806;468869;0.0038518221507499962
歌川话插画;97;140;237;468869;0.0005054716775901158
鬼手视频翻译;5;23;28;468869;5.971817287984491e-05
量子位;6163;98000;104163;468869;0.22215800148868875
Raymond雷蒙·跨境satc1234;15;91;106;468869;0.00022607594018798428
腾讯云官网;70;1145;1215;468869;0.0025913421446075555
阿里技术;9;1911;1920;468869;0.004094960426046508
OPPO直播间;46;390;436;468869;0.0009298972634147278
娱乐小丸子;71270;307000;378270;468869;0.806771187687819
惠租app;645;6719;7364;468869;0.01570587946739921
云影同学;5;171;176;468869;0.00037537137238759656
元宝妈的测评库;99;49000;49099;468869;0.1047179489366966
鬼手视频翻译;8;117;125;468869;0.0002665989860707362
国人专营店;16;236;252;468869;0.0005374635559186041
荣耀致新;6;25;31;468869;6.611654854554257e-05
老度;2593;41000;43593;468869;0.09297479679825282
一尘游戏时光;174;1542;1716;468869;0.0036598708807790664
OriginOS原系统;195;1439;1634;468869;0.0034849819459166634
不冷静的知识;10;109;119;468869;0.00025380223473934083
小米之家南京景枫旗舰店;61;309;370;468869;0.0007891329987693791
Err;206;7975;8181;468869;0.01744837044035754
数码速报菌;137;995;1132;468869;0.0024143204178565868
歌者天行;1400;90000;91400;468869;0.1949371786149223
第一财经;49;1298;1347;468869;0.002872870673898253
四喜茶茶;165;4630;4795;468869;0.01022673710567344
毒舌数码;8;25;33;468869;7.038213232267435e-05
科技捕手;993;6488;7481;468869;0.015955416118361418
1163161441;20;295;315;468869;0.0006718294448982552
搞机圈的那些事;181;3570;3751;468869;0.00800010237401065
7r;1;27;28;468869;5.971817287984491e-05
大谷的游戏创作小屋;706;9119;9825;468869;0.020954680305159862
小爱同学抖音号;18;161;179;468869;0.0003817697480532942
指尖日记;1;5;6;468869;1.2796751331395337e-05
白白短视频运营;1816;67000;68816;468869;0.14677020660355025
傻瓜工具箱;66;4341;4407;468869;0.009399213852909875
华为;469;11000;11469;468869;0.024460990169962185
matatalab玩具旗舰店;2;22;24;468869;5.118700532558135e-05
Ai图片翻译助手;10;57;67;468869;0.00014289705653391458
鸿蒙玩机技巧;89;358;447;468869;0.0009533579741889525
槐庭文创;52;267;319;468869;0.0006803606124525187
外贸跨境顾问梁同学;327;7639;7966;468869;0.016989820184315874
鸿蒙范;317;4812;5129;468869;0.010939089596454447
头号卖家;42;266;308;468869;0.000656899901678294
成都M哥;202;1800;2002;468869;0.0042698493609089104
惠租app;8;113;121;468869;0.0002580678185164726
郫都发布;2;39;41;468869;8.744446743120146e-05
小V小V;98;775;873;468869;0.0018619273187180214
创意黑榜;3;8;11;468869;2.3460710774224785e-05
安卓手机技巧;51;1483;1534;468869;0.0032717027570600744
我说丁丁啊;22;3177;3199;468869;0.00682280125152228
不吃不带籽的葡萄;1;5;6;468869;1.2796751331395337e-05
AI研究猿;68;1553;1621;468869;0.0034572556513653065
优越者旗舰店;10;162;172;468869;0.00036684020483333297
科技美少女灿灿灿;95;2473;2568;468869;0.005477009569837204
优越者旗舰店;1;6;7;468869;1.4929543219961227e-05
城市商报;5;295;300;468869;0.0006398375665697668
复原工匠-快充线充电器充电宝手机壳钢化膜;9;36;45;468869;9.597563498546502e-05
看见集美;397;1671;2068;468869;0.004410613625554259
水星领航员;3;20;23;468869;4.905421343701546e-05
小智Ai图片翻译+视频翻译软件;17;94;111;468869;0.00023673989963081372
视知产研院;37;747;784;468869;0.0016721088406356573
树辉科技（张家口银座）;5;34;39;468869;8.317888365406968e-05
我是AI人;1;59;60;468869;0.00012796751331395337
小学生爱历史;3;32;35;468869;7.464771609980613e-05
小蔡教书日记;3869;465000;468869;468869;1.0
