发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
周咬金;20362;202000;222362;222362;1.0
Meta纯;179;6714;6893;222362;0.030999001627976003
隔壁老王bro;149;1302;1451;222362;0.006525395526214011
曾经.....;1015;13000;14015;222362;0.06302785547890377
不想卷的57;846;3613;4459;222362;0.02005288673424416
小虎报;211;4374;4585;222362;0.020619530315431595
楠哥短视频;136;1835;1971;222362;0.008863924591431989
UGREEN绿联;168;16000;16168;222362;0.07271026524316206
31811223423;20;479;499;222362;0.0022440884683534055
天威笔记;180;380;560;222362;0.0025184159163885917
Domo嘿乖;64;112;176;222362;0.0007915021451507002
ChatGPT赚够100万;309;1825;2134;222362;0.00959696350995224
ChatGpt怎么进入;9;759;768;222362;0.0034538275424757826
黄先生讲项目;203;224;427;222362;0.001920292136246301
快懂百科;692;17000;17692;222362;0.07956395427276243
实话老憨;118;1647;1765;222362;0.00793750730790333
Tike1;66;8609;8675;222362;0.03901296084762684
威尚哥AI视界;118;2458;2576;222362;0.011584713215387522
赛文乔伊;325;8233;8558;222362;0.038486791807952794
谷硅发条;25;149;174;222362;0.0007825078025921695
洋拉图;80;570;650;222362;0.0029231613315224723
恒无魂艾克;270;3522;3792;222362;0.01705327349097418
Tim Li李;1213;11000;12213;222362;0.054923952833667626
阿鱼纪录片传奇;171;554;725;222362;0.003260449177467373
PM圈子-崔经理;571;12000;12571;222362;0.05653394015164462
跨境电商苏菲;506;2382;2888;222362;0.012987830654518308
Nana的龙门阵;1970;33000;34970;222362;0.15726607963590902
未来已来;14;54;68;222362;0.00030580764699004325
公信财经;1382;23000;24382;222362;0.10965003013104757
老达·ChatGPT挣够三百万;2281;16000;18281;222362;0.08221278815624972
爱姐海外记-印尼站;73;392;465;222362;0.002091184644858384
黑马Java老陈;60;1037;1097;222362;0.00493339689335408
绝对社2077;447;13000;13447;222362;0.06047346219228106
GPT名号;67;404;471;222362;0.0021181676725339762
Meta纯;15;452;467;222362;0.0021001789874169146
ChatGPT中文版;18;503;521;222362;0.002343026236497243
AIGC小助手;126;3095;3221;222362;0.014485388690513667
回到Axton;652;36000;36652;222362;0.16483032172763332
老爸育女心经;95;1127;1222;222362;0.005495543303262248
差评君;714;21000;21714;222362;0.09765157715796764
设计师漩涡;28;292;320;222362;0.0014390948093649094
康总的笔记;1131;1421;2552;222362;0.011476781104685153
ChatGPT赚够100万;75;401;476;222362;0.002140653528930303
AI数字大学;37;2817;2854;222362;0.012834926831023287
深氪财经;453;16000;16453;222362;0.07399195905775267
小帆向前冲;55;250;305;222362;0.0013716372401759293
AI江南;24;705;729;222362;0.0032784378625844344
资源库;65;2427;2492;222362;0.011206950827929232
国际留学课业;123;5245;5368;222362;0.024140815427096358
程序员柯西;30;474;504;222362;0.0022665743247497322
Chatgpt手机版;5;73;78;222362;0.0003507793597826967
大云说科技;64;353;417;222362;0.0018753204234536476
福福Fox;101;219;320;222362;0.0014390948093649094
平哥解图站;450;5211;5661;222362;0.025458486611921103
程序员老张（22点～24点直播）;199;4014;4213;222362;0.018946582599544886
黄先生讲项目;538;1483;2021;222362;0.009088783155395257
小晨晨;108;7014;7122;222362;0.03202885385092777
AI数字大学;199;9618;9817;222362;0.04414873044854786
AI Future;19;157;176;222362;0.0007915021451507002
玩车研究所;143;60000;60143;222362;0.2704733722488555
成富_Alex;17;134;151;222362;0.0006790728631690667
回到Axton;12;307;319;222362;0.0014345976380856441
玩车的东辰;40;14000;14040;222362;0.0631402847608854
芒果AI;189;385;574;222362;0.0025813763142983064
A 小浩哥UI设计;103;7734;7837;222362;0.035244331315602485
瓦肯财经;160;2448;2608;222362;0.011728622696324012
悦宇玩机;97;2178;2275;222362;0.010231064660328653
恒洋大叔;4192;58000;62192;222362;0.27968807620007013
93612345409;12;262;274;222362;0.0012322249305187038
霆腾科技（电脑说）;-61;4768;4707;222362;0.021168185211501964
百钞探ChatGPT;38;180;218;222362;0.0009803833388798446
高盖伦;712;65000;65712;222362;0.2955181191030842
叨哥自媒体;20;1571;1591;222362;0.00715499950531116
间桐羽;19;95;114;222362;0.000512677525836249
吕晓彤投资;183;2018;2201;222362;0.009898273985663017
AI那点事;24;761;785;222362;0.0035302794542232934
73400965849;21;487;508;222362;0.002284563009866794
小橙说科技。;51;93;144;222362;0.0006475926642142092
猫腻妖妖;37;240;277;222362;0.0012457164443564997
亿晴跨境私域;20;409;429;222362;0.0019292864788048318
黑马pink讲前端;278;11000;11278;222362;0.050719097687554525
鹤立烟雨夫妇;597;22000;22597;222362;0.10162257939755893
Mia外贸商务;330;5786;6116;222362;0.027504699543986832
嘉实基金;7;125;132;222362;0.0005936266088630252
兵子说AI;1;20;21;222362;9.444059686457218e-05
