发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
全面解读openai gpt-4支持的微软office 365 ai Copilot智慧办公全家桶#copilot #微软 #gpt4 #chatgpt #微软将聊天机器人植入Office;0.0045871320792048;-0.0427106830655409;0.423404382136343;-0.026519434435354598
一招提前体验AI加持的Office365 Copilot #ai #chatgpt应用领域 #人工智能 #copilot #office365 @DOU+小助手;0.0005362935347992;-0.4560854345738384;0.6826098059046268;-0.4560437957780551
如果让word用上从copilot#office365 #opilot #chatGPT #办公效率工具;0.0010153130027751;-0.1791524518040305;0.4721212637140862;-0.12391674433521382
第1集 | 未来打工人必备！6分钟精通全套#微软 #office 新版全家桶#copilot 发布会案例教程#高级ppt制作技巧 #chatgpt应用领域;0.0795953326842272;0.0477362016708459;0.4408147840339144;0.03143987320224705
生产力大爆炸！微软宣布推出Microsoft 365 Copilot：由OpenAI 的GPT-4技术驱动，可根据Word文档创建PPt演示文稿，甚至使用Excel中的数据透视表等功能#微软将把聊天机器人植入Office;0.1351043169026184;0.1554085223426814;0.4603342641387581;0.10820179322465048
Microsoft 365 Copilot 内测版激活 #Ai #电脑 #知识 #教程 #office;5.7274066823215785e-05;-0.0666666666666659;0.6823825847332596;-0.06663319561211026
Microsoft 365 抢先体验Copilo#copilot副驾驶 #gpt-4 #openai;0.0005883608682748;-0.0472113562307748;0.601311937547899;-0.041585644005043464
AI+Office终于来了，这个Excel也太惊艳了！#微软365 #office365 #excel365 #excelcopilot#excel;6.248080017078086e-05;-0.1755132125632306;0.7417129250190009;-0.19067758537063062
微软重磅发布Copilot Microsoft365,人类的工作方式将被颠覆？ #ai #copilot #Micsoft;0.0001301683336891;-0.092148140536614;0.4727991727928575;-0.06381554539057945
抢先体验Microsoft 365的Copilot，一键配置，超级简便，小白也能操作#copilot #Microsoft #Word #chatgpt #ai @一只会飞的旺旺;0.0281788408770221;0.0650539289488887;0.2022555428156479;0.01957020587772804
第18集 | 抢先体验Microsoft 365 Copilot，保姆级教程，手把手教会你，小白也能操作！#chatgpt应用领域 #copilot #微软 #word #黑科技 #插件 #软件 #阿皓百宝箱;0.0250443874017879;0.026220132649008;0.2002691069877299;0.007798151712053586
兄弟们，最多三年以后可能就要失业了 #ChatGPT #copilot #office;0.035291238629796;0.0583890670160533;0.4364438485192331;0.0376612163195849
微软重磅发布Copilot Microsoft365,人类的工作方式将被颠覆？！ #copilot #ai #ai人工智能 #人工智能 #微软 #microsoft365;0.0080912636221161;0.1217387417066263;0.4613584466956779;0.08242570460487719
#Microsoft 365，抢先体验#Copilot，#工作方式彻底改变！#表姐凌祯;0.0003384376675917;-0.636985284454758;0.5593934050089965;-0.521946333516237
免费升级到microsoft 365 copilot 教程，还不来学~#科技软件应用 #教程 #Microsoft #Microsoft365 copilot #office ai #升级 #手把手;0.0001509952670793;-0.304354441692279;0.6824460005685185;-0.3042345480372304
人工智能王炸来了#Office全家桶 #copilot #microsoft365 #微软 #微软将把聊天机器人植入office;0.0098303125602028;0.0938569217904584;0.4584706773986173;0.06317732254337721
微软正式推出Microsoft 365 Copilot：AI全面植入Office全家桶#微软 #chatgpt应用领域#copilot #openai #ai聊天程序chatgpt爆红;0.0002290962672928;0.2827593935453756;0.6824406587108031;0.2826493884255547
#chatgpt应用领域 #copilot #微软 #人工智能 #chatgpt4;0.0143237234391515;-0.1748174073904503;0.3680640840791133;-0.0946524569324797
微软Edge浏览器正式集成New Bing(GPT4)啦！#chatgpt应用领域 #有ai就有无限可能 #人工智能 #newbing #chatgpt;0.0025565060736544;-0.0392346364531564;0.4829279433539912;-0.027768809395212993
微软Microsoft 365 Copilot 是不是开启了一场新的办公革命？到底有多牛？#微软 #copilot #微软将把gpt4植入office;0.0003019905341587;-0.2155767839521124;0.459438400244425;-0.14508112443822269
第4集 | 无需Copilot也能在Word中使用chatGPT#chatgpt应用领域 #aigc应用 #office365 #AI#copilot#copilot微软 #copilot副驾驶;0.0002811636007685;-0.0132201785132214;0.6461507480054807;-0.012512442191690424
微软365 Copilot重磅来袭，彻底颠覆你的办公方式！word、excel、ppt一键搞定！#chatgpt应用领域 #copilot #干货分享;0.0002759568674209;0.1461771828476019;0.5051856813142978;0.10817001626750496
一键生成您想要的一切！GPT-4接入Microsoft 365 Copilot5月26日-5月30日《数智赋能创新——以ChatGPT为代表的创造性AI辅助金质PPT制作大神训练营》（线上线下融合式学习），尝鲜新玩法，教您通过现有Office实现Copilot中的一键AI生成全套PPT，五月份的GPT + PPT深度专题班将解密玩法。;2.603366673782536e-05;0.0198101527032608;0.6823507085230638;0.019799181063102814
copilot已经可以体验啦，真的引爆生产力了吗？ #chatgpt #copilot #人工智能;0.001364164137062;0.1458511830453823;0.2546655629368375;0.05443628808113444
微软放出王炸，Office全面集成GPT-4, Office365 Copilot让多少打工人感受到扑面而来的危机感，巨头之间的ChatGPT之争也越来越白热化，这对于职场人到底是好消息还是坏消息呢。#微软;0.0017650826048245;-0.0365012974829206;0.4329521862035033;-0.02315766884071953
全球首款 GPT4 应用，微软Microsoft 365 Copilot 震撼发布！20 亿打工人瑟瑟发抖[发抖] 完胜百度文心一言，AI上的差距不是一般的大[叹气] 未来已来，你准备好了吗？ #chatgpt;0.0003905050010673;-0.1213138308734314;0.4776805211960609;-0.08488622338192608
已经是个成熟的Microsoft 365，学会自己工作了#Copilot #GPT4接入Office全家桶 #微软将把聊天机器人植入Office #GPT #微软 #AI;0.0010777938029459;0.0585811724102102;0.5347392263542114;0.04589308663536804
这么有实力的微软office365 copilot竟然翻车了！！！！#微软365 #微软office #copilot微软;1.5620200042695214e-05;-0.5441019810230039;0.6823350471500939;-0.5437872325713666
第23集 | Windows11版全新Excel震撼登场（Microsoft 365 Copilot）#微软 #office #chatgpt#gpt4;0.0013433372036717;-0.128103754414326;0.4655756889665483;-0.08738588274392596
【双语】微软Office+GPT？八分钟看完微软365Copilot发布会#chatgpt应用领域 #人工智能#ai聊天程序chatgpt爆红 #chatgpt;0.0006560484017931;0.1759188182069969;0.4923247791569087;0.126875628673072
微软官方发布堪称“杀手锏”应用Microsoft 365 Copilot，中国奋起直追的应用在何方？#财经#干货#商业思维##知识分享 #老百姓关心的话题 #认知;0.000166615467122;0.6866970598406937;0.8015325231829095;0.8062064787146305
微软GPT-4 Office全家桶发布，传统工作方式是否会被彻底颠覆？ #GPT4 #人工智能 #微软#copilot #office #microsoft365 @抖音小助手;0.0006924955352261;-0.0048297074283176;0.477588742950556;-0.0033790512913539953
第1集 | 微软又一王炸产品，史上最强office！！！#AI #chatgpt #office办公技巧 #WPS;8.330773356104114e-05;0.401129943502825;0.6824086458643104;0.4009455612664442
第3集 | 嵌入ChatGPT4.0微软Copilot详细安装步骤 #copilot微软 #chatgpt4 #AI #office365激活;0.0049255697467965;-0.1807159506420511;0.3565725254611099;-0.0945279731312393
第4集 | 微软Copilot抢先用！适合中国宝宝的全中文网页版Copilot&NewBing阉割版 #Copilot#NewBing #微软#Office #Word #AI #人工智能 #职场 #AI绘画 #未来;0.0741595030693693;-0.0834080093750136;0.5245055571781411;-0.06508448371365805
#chatgpt应用领域 #office办公技巧 #microsoft365 Microsoft365 Copilot你用上了么？抢先体验教程就在视频下方！;0.0001353750670366;-0.3105100099743372;0.4987118028351765;-0.22682361437477133
第16集 | 看谁还在为PPT发愁！AI写PPT教程第5版！#ppt教程 #gpt4 #生产力工具 #创业斯基;0.1368902264408333;-0.1550965026539461;0.536598514729477;-0.12535461816859275
微软王炸!Copilot,ChatGPT加持Office,一键搞定办公软件#office #copilot #office办公技巧;0.000682082068531;-0.1197111725421073;0.5200831346195022;-0.09120542102087384
AI桌面革命深夜打响，GPT-4全面接入微软Office全家桶，10亿打工人被革命。#Copilot#openai #chatgpt #微软 #windows;0.0101427165610567;0.2574923278510544;0.4081566353217503;0.15436134586385303
第16集 | 别折腾了，微软的office copilot不支持中文！用这个接入了chatgpt所有版本的word，如果你有GPT-4的Api，使用舒适度顶满！！！ #office办公技巧 #微软 #办公技巧 #word教程;0.030167813015792;0.0616662300644478;0.4493165553171236;0.04088628224053853
不用等待微软Office 365 copilot，现在就可以一键生成PPT #chatgpt #chatgpt应用领域 #人工智能 #copilot #tome;0.0001614087337745;0.186084253558542;0.6824773002304861;0.1860197961598822
#copilot #微软 #chatgpt #ai 微软的copilot来啦！;0.0024940252734836;-0.1428811073460839;0.4776835120459144;-0.10002690812073074
第11集 | 两分钟教会你安装office365最新版，后续会更新Ai版本，全自动办公的时代要来了。#chatgpt4 #office办公技巧 #插件 #黑科技 #办公技巧 #阿皓百宝箱;0.0032958622090086;-0.0122968655602454;0.3183861535807717;-0.005741134887574856
第11集 | 微软Edge浏览器抢先免费使用Copilot微软利用 Al，使得Edge 浏览器发生了革命性变化。现在可以利用Al 副驾驶功能 Copilot， 在同一浏览器内，轻松完成Al聊天，Al写作，Al网页分析，和Al绘图，工作效率大幅提高。;0.0002447164673355;0.3561599471059529;0.6825235043927974;0.3560655095471601
第7集 | 办公革命！文字一键生成PPT和excel#人工智能 #copilot #office #chatgpt应用领域#openai;0.0233365788637866;0.0860096135861813;0.4682618505710781;0.05931764741293292
第1集 | Microsoft 365（Office 365）免费永久激活，100%官方正版，2023年最新方法！;0.0023534434730994;-0.0937406877259352;0.4130478328252768;-0.05674835240193056
如何安装和激活Office 365 #office激活 #office安装 #office365激活;0.0020306260055503;-0.0091147591734022;0.4999918693944856;-0.006678116500609624
0门槛加入开发者，申请免费使用正版Office365 E5订阅,O365激活#电脑 #电脑知识 #office;0.0087525187572568;-0.1417917734837729;0.4391212161451565;-0.09139998412532518
除了一键生成PPT，微软的Copilot还有多少本事？#copilot #微软 #office #我在抖音说财经#chatgpt;0.0102364377613129;0.0021103145744175;0.4491151865970123;0.0013917246308256922
copilot使用体验，神奇的代码提示 #程序员;0.2893277586574959;0.0216375643323569;0.5051001208678123;0.01702679128398024
这应该是最简单的Office365白嫖教程了 #office办公软件 #office办公技巧;0.0079558885550794;-0.2408281726115742;0.4326807773510001;-0.15293651410387452
Excel的Copilot来了！#Copilot #excel #人工智能 #ai #openai;0.0031969342754049;0.3436234761906525;0.2614081645435879;0.13174727220919047
今天微软更新了 Github Copilot X，本来是抱着试试看的心态尝尝鲜，本以为就是个高级的代码补全，万万没想到，他直接根据代码写注释，我写了个My，然后他就把我代码的意思解释了，全程敲了个Tab。然后他还能根据注释写代码，作业的一小问它直接探测到了我的文件夹和文件名，直接给我生成了6行代码，我按了6个tab，一运行结果还是对的，震惊我一整年。看了下文档，支持不同语言，还可以自动改bug，自动写测试用例，好的，感觉以后也不需要那么多程序员了，也不需要加班了，真·毕业即失业;0.0350309019624178;-0.0182328709044152;0.4292372742935911;-0.011567055895444248
