发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
Ai数字大学;49;832;881;192059;0.0045871320792048274
AI工具汇总;2;101;103;192059;0.0005362935347992023
AI探索洋;10;185;195;192059;0.0010153130027751888
聚梦小课堂;287;15000;15287;192059;0.07959533268422725
蓝鲸TMT;948;25000;25948;192059;0.13510431690261845
傻大个黑科技;1;10;11;192059;5.7274066823215785e-05
止吾说;6;107;113;192059;0.0005883608682748531
Bittle白;3;9;12;192059;6.248080017078086e-05
伟哥分享;6;19;25;192059;0.0001301683336891268
AI研小生☆AI应用分享;1362;4050;5412;192059;0.028178840877022163
阿皓传媒;404;4406;4810;192059;0.025044387401787993
以溪同学;269;6509;6778;192059;0.03529123862979605
57954210597;105;1449;1554;192059;0.00809126362211612
Excel 表姐凌祯;10;55;65;192059;0.00033843766759172964
编程界面;2;27;29;192059;0.00015099526707938708
菲神说科技;116;1772;1888;192059;0.009830312560202854
小范叨叨;1;43;44;192059;0.00022909626729286314
杉姐玩AI;34;2717;2751;192059;0.01432372343915151
AI工具汇总;30;461;491;192059;0.0025565060736544498
翠爷聊跨境汽配;24;34;58;192059;0.00030199053415877415
逆风AIGC;8;46;54;192059;0.00028116360076851384
愚人兰;4;49;53;192059;0.00027595686742094876
高教国培;1;4;5;192059;2.6033666737825357e-05
无知便是罪;40;222;262;192059;0.0013641641370620487
夏哥聊商业（YC孵化模式）;55;284;339;192059;0.0017650826048245592
V+视界;10;65;75;192059;0.0003905050010673803
微软乐映专卖店;7;200;207;192059;0.0010777938029459698
AI冲浪者;1;2;3;192059;1.5620200042695214e-05
Windows;12;246;258;192059;0.0013433372036717884
爱学习的Julia;6;120;126;192059;0.000656048401793199
盘古先锋;5;27;32;192059;0.00016661546712208228
就是Iris;11;122;133;192059;0.0006924955352261544
AI资讯助手小e;1;15;16;192059;8.330773356104114e-05
逆风AIGC;44;902;946;192059;0.004925569746796557
聚梦小课堂;243;14000;14243;192059;0.0741595030693693
一只会飞的旺旺;6;20;26;192059;0.00013537506703669184
创业斯基;291;26000;26291;192059;0.1368902264408333
奇客三美;19;112;131;192059;0.0006820820685310244
北大学姐;141;1807;1948;192059;0.010142716561056758
Ai 11社区-社长;82;5712;5794;192059;0.030167813015792022
AI工具汇总;2;29;31;192059;0.0001614087337745172
ChatGPT Plus;25;454;479;192059;0.0024940252734836693
阿皓传媒;282;351;633;192059;0.0032958622090086902
章鱼AI;1;46;47;192059;0.00024471646733555835
大云说科技;52;4430;4482;192059;0.02333657886378665
1024nettech;15;437;452;192059;0.0023534434730994123
短学堂;16;374;390;192059;0.0020306260055503777
运维小陈;76;1605;1681;192059;0.008752518757256885
二倍速研报;115;1851;1966;192059;0.01023643776131293
程序员小山与Bug;1568;54000;55568;192059;0.2893277586574959
轻松一刻;36;1492;1528;192059;0.007955888555079428
