发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
用工具的人;430;11000;11430;749898;0.015242072921917382
Minecraft_2006;111;9158;9269;749898;0.012360347673950323
彩云小梦;897;2093;2990;749898;0.00398720892708075
葡萄李子栗子梨;16;260;276;749898;0.0003680500548074538
zhien;69;237;306;749898;0.00040805549554739446
电子羊;66898;683000;749898;749898;1.0
莫不是个智障吧？;106;544;650;749898;0.0008667845493653803
电子羊;1902;40000;41902;749898;0.05587693259616641
竹月弓;-12;12;0;749898;0.0
六世路;2;13;15;749898;2.0002720369970316e-05
_tufu_;2;20;22;749898;2.9337323209289797e-05
沈先生の信箱;150;2476;2626;749898;0.0035018095794361365
人工智能哪家强;17;1029;1046;749898;0.0013948563671325968
Minecraft_2006;7;499;506;749898;0.0006747584338136653
叫我小熊（减肥成功版）;3;45;48;749898;6.4008705183905e-05
Xela的入梦素材;2;9;11;749898;1.4668661604644899e-05
Joe Ben;6;133;139;749898;0.00018535854209505826
Minecraft_2006;14;931;945;749898;0.0012601713833081298
Minecraft黑水;13;295;308;749898;0.00041072252493005713
香煎小年糕o;131;759;890;749898;0.0011868280752849055
Minecraft_2006;24;619;643;749898;0.0008574499465260609
Minecraft_2006;7;843;850;749898;0.0011334874876316513
一只小焱炎;2;9;11;749898;1.4668661604644899e-05
你好呀早安人;5;108;113;749898;0.00015068716012044304
神器365;5;65;70;749898;9.33460283931948e-05
从零开始做孟婆;154;17000;17154;749898;0.022875111015098055
可恬.;93;957;1050;749898;0.0014001904258979221
熵减;5;27;32;749898;4.267247012260334e-05
一天困108次;51;277;328;749898;0.00043739281875668424
直升机火力对决2;1;20;21;749898;2.800380851795844e-05
南波兔（第五人格）;132;6223;6355;749898;0.008474485863410756
Yskyan;2097;5186;7283;749898;0.009711987496966255
你在哪里;7;75;82;749898;0.00010934820468917106
自贡好身手跆拳道琦教练;11;26;37;749898;4.934004357926011e-05
AI续写员;1;34;35;749898;4.66730141965974e-05
迪佳;2;4;6;749898;8.001088147988126e-06
L84WUDU;13;187;200;749898;0.0002667029382662709
Ar_Yynua^;27;293;320;749898;0.0004267247012260334
芋头－YTNo_2;11;139;150;749898;0.00020002720369970316
akinaanita;5;20;25;749898;3.333786728328386e-05
彩云小梦;374;1931;2305;749898;0.003073751363518772
