标题;发布时间;视频时长;发布者;帖子账号粉丝数;发布者是否蓝V;发布者总点赞数量;评论数;转发数;收藏;点赞数;用户名;一级账号粉丝数;评论内容;评论时间;评论点赞数;评论回复数;标记
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;0317;1;怎么打开魔法工具;3周前·广东;0;1;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;ininn5200m;1;我有魔法;1;0;1;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;代号bpc;1;microsoft账户怎么申请;1周前·IP未知;0;5;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑;1;往前翻，有个视频专门讲了;1;0;5;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;代号bpc阿童教电脑;1;申请时也要打开魔法工具吗？;1;0;5;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑代号bpc;1;不用。就是网页打开有点慢，耐心等待一下;1;0;5;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;代号bpc阿童教电脑;1;手机版本还是不能用，不知道要用什么插件吗？;1;0;5;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑代号bpc;1;不应该啊，我抽空试试;1;0;5;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;@时云;1;点了立即聊天又弹出同样画面;1周前·山东;1;1;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑;1;清理历史记录，不行再换个节点;1;0;1;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;用户3711002729627;1;没申请过前几天突然就能用了;2周前·湖北;1;3;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑;1;用国外邮箱现在基本都秒过。前面候补排队我还等了一星期，现在用两个outlook邮箱都是秒过不审核了。微软不像openai那么严了;1;0;3;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;用户3711002729627阿童教电脑;1;我用的好像就是QQ邮箱;1;0;3;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑用户3711002729627;1;好多申请对国内邮箱都不友好，我专门去注册了一些国外的邮箱;1;0;3;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;0227（学习版）厌早八！;1;我加入了但我没有得到微软申请;2周前·重庆;3;0;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;用户445987963425;1;不用mod修改？;2周前·上海;0;2;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑;1;mod被屏蔽了，没用了。有个魔法就可以;1;0;2;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;陌尘;1;有魔法就可以使用了;1;0;2;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;枯芒草;1;为什么那个网址他显示无法使用;1周前·广东;1;0;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;小羽子;1;我一步一步做的，但为什么就是不行？;2周前·重庆;0;1;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑;1;换节点，再清历史记录;1;0;1;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;sdove;1;为啥我的是英文的;3周前·江苏;0;1;0
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;阿童教电脑;1;浏览器地址栏里也有翻译按钮;1;0;1;1
如何加入微软新必应(new bing)? #chatgpt #newbing;202304032016;01:10;阿童教电脑;1044;0;4811;60;56;153;332;葡萄籽;1;请问手机怎么操作呢;1周前·重庆;0;1;0
