发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
"爱九萌
发消息";68;837;905;82238;0.01100464505459763
"想退休的产品狗
发消息";7;52;59;82238;0.0007174298985870279
"傻瓜工具箱
发消息";5;173;178;82238;0.0021644495245506943
"北海星辰
发消息";45;193;238;82238;0.002894039251927333
"热奶茶酸辣粉
发消息";238;82000;82238;82238;1.0
"阿彤不木Ruby
发消息";11;142;153;82238;0.0018604538048104283
"魚社長今天也要加油哇
发消息";28;84;112;82238;0.0013619008244363919
"翻译技术点津
发消息";2;76;78;82238;0.0009484666455896301
"ONE海绵
发消息";36;739;775;82238;0.009423867311948247
"ash啊修
发消息";22;294;316;82238;0.003842505897516963
"盘盘努力学习吧
发消息";43;1676;1719;82238;0.020902745689340693
"癞格宝小王子
发消息";16;74;90;82238;0.0010943845910649577
"bili的dili
发消息";1;6;7;82238;8.511880152727449e-05
"玛珂娜
发消息";494;21000;21494;82238;0.26136336000389115
"帅帅的森田君乀
发消息";3;12;15;82238;0.00018239743184415963
"小搞机实验室
发消息";53;290;343;82238;0.00417082127483645
"独立游戏小发发
发消息";11;219;230;82238;0.0027967606216104477
"玛珂娜
发消息";493;12000;12493;82238;0.15191274106860575
"玛珂娜
发消息";701;28000;28701;82238;0.34899924609061506
"楚门边境
发消息";629;18000;18629;82238;0.22652545052165665
"睦科生物
发消息";29;2512;2541;82238;0.03089812495440064
"四喜茶茶
发消息";333;7941;8274;82238;0.10061042340523846
"Stand114514
发消息";23;131;154;82238;0.001872613633600039
"安森垚
发消息";185;13000;13185;82238;0.16032734259101633
"梧桐苍月
发消息";18;110;128;82238;0.0015564580850701622
"Adam陈老丝
发消息";91;2289;2380;82238;0.028940392519273328
"直播中
童萌军
发消息";11;685;696;82238;0.008463240837569008
"罗罗磊磊
发消息";254;5685;5939;82238;0.0722172231814976
"G先生的视频笔记
发消息";5;30;35;82238;0.0004255940076363725
"同传亮老师
发消息";2;16;18;82238;0.00021887691821299157
"小智图片翻译软件
发消息";1;0;1;82238;1.2159828789610642e-05
"热奶茶酸辣粉
发消息";3;339;342;82238;0.004158661446046839
"廉飞
发消息";13;36;49;82238;0.0005958316106909215
"大水杯
发消息";41;162;203;82238;0.0024684452442909604
"吃屁猪猪侠GPT
发消息";43;7699;7742;82238;0.09414139448916559
"真实搬运
发消息";9;100;109;82238;0.00132542133806756
"嘵猫
发消息";2;8;10;82238;0.00012159828789610642
"sheepwindow羊叔说英语
发消息";13;194;207;82238;0.0025170845594494028
"架构师房磊
发消息";1;6;7;82238;8.511880152727449e-05
"TAT趙
发消息";31;144;175;82238;0.0021279700381818625
"封建主义的遗毒
发消息";1;3;4;82238;4.863931515844257e-05
"直播中
童萌军
发消息";13;119;132;82238;0.0016050974002286048
"玄孓
发消息";2;2;4;82238;4.863931515844257e-05
"思码氏管理员
发消息";5;14;19;82238;0.0002310367470026022
"千万不要买
发消息";201;8558;8759;82238;0.10650794036819962
"蓝匣子AIbox
发消息";1;12;13;82238;0.00015807777426493836
"哔哩龍-天衡台
发消息";2;31;33;82238;0.0004012743500571512
"小智图片翻译软件
发消息";1;2;3;82238;3.647948636883193e-05
"七画不是八画
发消息";7;22;29;82238;0.0003526350348987086
"双引号-啦啦啦
发消息";2;7;9;82238;0.00010943845910649579
"九木先森
发消息";59;304;363;82238;0.004414017850628663
"小智翻译
发消息";1;0;1;82238;1.2159828789610642e-05
"胖胖聊科技
发消息";37;1154;1191;82238;0.014482356088426275
"ash啊修
发消息";21;188;209;82238;0.0025414042170286244
"Simlalsy
发消息";31;228;259;82238;0.003149395656509156
"小智图片翻译软件
发消息";1;0;1;82238;1.2159828789610642e-05
"吃屁猪猪侠GPT
发消息";6;39;45;82238;0.0005471922955324789
"秀一美图
发消息";3;36;39;82238;0.00047423332279481503
"李子alt
发消息";26;112;138;82238;0.0016780563729662686
"创客云天
发消息";2;13;15;82238;0.00018239743184415963
"RK贝今天也很快乐
发消息";28;424;452;82238;0.005496242612904011
"AI视频工作室官方
发消息";2;2;4;82238;4.863931515844257e-05
"翻译小赵
发消息";2;44;46;82238;0.0005593521243220896
"懒羊羊lazier
发消息";6;485;491;82238;0.005970475935698825
"武峰老师
发消息";18;104;122;82238;0.0014834991123324984
"阿里技术_AlibabaTech
发消息";7;134;141;82238;0.0017145358593351006
"谷雨暮歌
发消息";3;42;45;82238;0.0005471922955324789
"冲浪普拉斯
发消息";283;7060;7343;82238;0.08928962280211095
"TK贤者
发消息";3;13;16;82238;0.00019455726063377028
"金剪刀开箱
发消息";109;531;640;82238;0.007782290425350811
"傻瓜工具箱
发消息";10;85;95;82238;0.0011551837350130111
"TnT若即若离
发消息";76;1186;1262;82238;0.01534570393248863
"码不亭蹄
发消息";5;53;58;82238;0.0007052700697974172
"真实搬运
发消息";1;8;9;82238;0.00010943845910649579
"用户已失联-
发消息";180;1231;1411;82238;0.017157518422140618
"好像是小郑同学
发消息";22;213;235;82238;0.002857559765558501
"雪军创始人
发消息";3;27;30;82238;0.00036479486368831926
